#NAME	year	sample_dna	soil_type	sampling_site	season	soil_depth	soil_depth_num	sampling_site_depth	soil_depth_two	rhizosphere	rhizosphere_type	rhizosphere_type_seasons
515rcbc1	2019	1	Chern_taiga	N1	Summer	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
515rcbc2	2019	2	Chern_taiga	N1	Summer	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
515rcbc3	2019	3	Chern_taiga	N1	Summer	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
515rcbc4	2019	4	Chern_taiga	N1	Summer	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
515rcbc5	2019	5	Chern_taiga	N1	Summer	0 (roots C.sibirica)	10	N1-top	top	rhizosphere	N1_roots_Crepis	N1_roots_Crepis
515rcbc6	2019	16	Chern_taiga	N1	Summer	0-10	10	N1-top	top	soil	N1_soil	N1_soil
515rcbc7	2019	17	Chern_taiga	N1	Summer	0-10	10	N1-top	top	soil	N1_soil	N1_soil
515rcbc8	2019	18	Chern_taiga	N1	Summer	0-10	10	N1-top	top	soil	N1_soil	N1_soil
515rcbc9	2019	19	Chern_taiga	N1	Summer	0-10	10	N1-top	top	soil	N1_soil	N1_soil
515rcbc10	2019	20	Chern_taiga	N1	Summer	0-10	10	N1-top	top	soil	N1_soil	N1_soil
515rcbc11	2019	21	Chern_taiga	N1	Summer	20-30	30	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc12	2019	22	Chern_taiga	N1	Summer	20-30	30	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc13	2019	23	Chern_taiga	N1	Summer	20-30	30	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc14	2019	24	Chern_taiga	N1	Summer	20-30	30	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc15	2019	25	Chern_taiga	N1	Summer	20-30	30	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc16	2019	26	Chern_taiga	N1	Summer	40-50	50	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc17	2019	27	Chern_taiga	N1	Summer	40-50	50	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc18	2019	28	Chern_taiga	N1	Summer	40-50	50	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc19	2019	29	Chern_taiga	N1	Summer	40-50	50	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc20	2019	30	Chern_taiga	N1	Summer	40-50	50	N1-30+	bottom	soil	N1_soil	N1_soil
515rcbc21	2019	51	Control	N2	Summer	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
515rcbc22	2019	52	Control	N2	Summer	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
515rcbc23	2019	53	Control	N2	Summer	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
515rcbc24	2019	54	Control	N2	Summer	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
515rcbc25	2019	55	Control	N2	Summer	0 (roots C.sibirica)	10	N2-top	top	rhizosphere	N2_roots_Crepis	N2_roots_Crepis
515rcbc26	2019	66	Control	N2	Summer	2-10	10	N2-top	top	soil	N2_soil	N2_soil
515rcbc27	2019	67	Control	N2	Summer	2-10	10	N2-top	top	soil	N2_soil	N2_soil
515rcbc28	2019	68	Control	N2	Summer	2-10	10	N2-top	top	soil	N2_soil	N2_soil
515rcbc29	2019	69	Control	N2	Summer	2-10	10	N2-top	top	soil	N2_soil	N2_soil
515rcbc30	2019	70	Control	N2	Summer	2-10	10	N2-top	top	soil	N2_soil	N2_soil
515rcbc31	2019	71	Control	N2	Summer	20-30	30	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc32	2019	72	Control	N2	Summer	20-30	30	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc33	2019	73	Control	N2	Summer	20-30	30	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc34	2019	74	Control	N2	Summer	20-30	30	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc35	2019	75	Control	N2	Summer	20-30	30	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc36	2019	76	Control	N2	Summer	60-70	70	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc37	2019	77	Control	N2	Summer	60-70	70	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc38	2019	78	Control	N2	Summer	60-70	70	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc39	2019	79	Control	N2	Summer	60-70	70	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc40	2019	80	Control	N2	Summer	60-70	70	N2-30+	bottom	soil	N2_soil	N2_soil
515rcbc41	2019	126	Chern_taiga	T1	Summer	1-15	15	T1-top	top	soil	T1_soil	T1_soil
515rcbc42	2019	127	Chern_taiga	T1	Summer	1-15	15	T1-top	top	soil	T1_soil	T1_soil
515rcbc43	2019	128	Chern_taiga	T1	Summer	1-15	15	T1-top	top	soil	T1_soil	T1_soil
515rcbc44	2019	129	Chern_taiga	T1	Summer	1-15	15	T1-top	top	soil	T1_soil	T1_soil
515rcbc45	2019	130	Chern_taiga	T1	Summer	1-15	15	T1-top	top	soil	T1_soil	T1_soil
515rcbc46	2019	131	Chern_taiga	T1	Summer	35-55	55	T1-30+	bottom	soil	T1_soil	T1_soil
515rcbc47	2019	132	Chern_taiga	T1	Summer	35-55	55	T1-30+	bottom	soil	T1_soil	T1_soil
515rcbc48	2019	133	Chern_taiga	T1	Summer	35-55	55	T1-30+	bottom	soil	T1_soil	T1_soil
