#TAXONOMY,"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8b56d5b18d05f22deee7536d3599341d","Unassigned",NA,NA,NA,NA,NA,NA
"29cd67f7940c4aae6b501f001c22f556","Bacteria",NA,NA,NA,NA,NA,NA
"7f9f6d9fabb67c8bc45eb50065a8bd4b","Bacteria",NA,NA,NA,NA,NA,NA
"dba17c0f584ef00d4cecd4ecd4ed8c1a","Bacteria",NA,NA,NA,NA,NA,NA
"c9e6541ef7b2a81f76897f25fe73d0f1","Bacteria",NA,NA,NA,NA,NA,NA
"433484864ad0b1ef55daffeead4b0b0c","Bacteria",NA,NA,NA,NA,NA,NA
"b67472f23af0f055316c0ed4dccefaff","Bacteria",NA,NA,NA,NA,NA,NA
"e3b2314ba28bffe76cbf55dd5757dbc5","Bacteria",NA,NA,NA,NA,NA,NA
"3f652a9ee853a098d91dbf4c2e1b45ac","Bacteria",NA,NA,NA,NA,NA,NA
"f2de5cf33fe3fe3475190be7d7e16781","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"1c635158540821b945cbd85f17a0dc0f","Bacteria",NA,NA,NA,NA,NA,NA
"aa123f4b3554a49e4ef0ffb5bedbbfe5","Bacteria",NA,NA,NA,NA,NA,NA
"02f71adf8c7bb6e40e65c04a65881fd5","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"45e420d040e8c48e83710fcfd0adf6fb","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"5c38d44cc2ac24b1d48feef12378f632","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"73b2d95f174d5f44c621e80ccbe726e1","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"abc225b2fb18ab59a85aa649fdd1f424","Bacteria",NA,NA,NA,NA,NA,NA
"11b2335fcfa35d29bdc8e3498d1f51e9","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"b7f74f92f0115c6ec81c3504aa2ed40d","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","mitochondria",NA,NA
"543a8e09ffc397554c1da5030dad046b","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"f6aeb7d9ea36c488b4bf69cb2b2a14f9","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"c53e08d26cd0f08d0be7e237af009ce4","Bacteria",NA,NA,NA,NA,NA,NA
"b8ff15609e9a1cece898033753fd5eca","Bacteria",NA,NA,NA,NA,NA,NA
"a024ffd145f0130b13140967720799ba","Bacteria",NA,NA,NA,NA,NA,NA
"571f4b82cd3e5c0e3a7f41d47e1e6f9c","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"90aa1d1f0289630dafdac8df3e8f6f8d","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"5b2287a9f685c4cd7f0f8b3649bdb3c3","Bacteria",NA,NA,NA,NA,NA,NA
"87c2fc6a7173ab9165ac1b5607c51a81","Bacteria",NA,NA,NA,NA,NA,NA
"130fa7d2896dab271eb3abb7183b87f4","Bacteria",NA,NA,NA,NA,NA,NA
"f59d35944fa017a6127eced9d48d5479","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"aff36d647b1db365ac5ca1ef1cb63892","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"deb4622d5cf7ccd137fb072e6aced6a7","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
