#TAXONOMY,2019-036,2019-037,2019-038,2019-039,2019-040,2019-096,2019-097,2019-098,2019-099,2019-100,2019-111,2019-112,2019-113,2019-114,2019-115,2019-156,2019-157,2019-158,2019-159,2019-160,2019-171,2019-172,2019-173,2019-174,2019-175,2019-191,2019-192,2019-193,2019-194,2019-195,2019-206,2019-207,2019-208,2019-209,2019-210,2019-236,2019-237,2019-238,2019-239,2019-240,2019-261,2019-262,2019-263,2019-264,2019-265,2020-276,2020-277,2020-278,2020-279,2020-280,2020-291,2020-292,2020-293,2020-294,2020-295,2020-306,2020-307,2020-308,2020-309,2020-310,2020-326,2020-327,2020-328,2020-329,2020-330,2020-341,2020-342,2020-343,2020-344,2020-345,2020-356,2020-357,2020-358,2020-359,2020-360,2020-371,2020-372,2020-373,2020-374,2020-375,2020-391,2020-392,2020-393,2020-394,2020-395,2020-411,2020-412,2020-413,2020-414,2020-415
aa6486d5276e236ae3d02c5b4d1b2dcd,11,7,0,84,401,13,15,0,5,6,0,0,0,0,0,0,5,0,0,11,0,5,0,4,0,0,4,0,2,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,102,115,0,0,5,5,0,0,13,0,4,11,33,13,8,25,4,34,13,0,123,44,22,9,6,7,9,0,0,0,0,0,0,0,0,0,0,0
f0739fa4c615e0fb302050fbc27e0b3e,0,0,0,0,21,145,0,16,0,0,37,40,47,60,0,8,0,0,0,0,0,18,29,31,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,5,12,0,0,0,0,20,0,17,0,178,39,480,35,0,11,0,14,24,0,14,0,0,9,18,0,0,16,0,0,10,0,10,0,0,0,0,0,14,0,99,119,53,59,80,22,15,0,17,0
d4be7c2409fc692446a7f8ba6c503295,0,0,0,0,33,75,33,0,0,37,0,0,26,0,0,0,32,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,0,13,13,0,0,0,0,0,50,0,0,0,0,187,56,159,34,0,0,0,27,0,0,121,0,0,49,0,0,0,0,0,35,78,0,107,33,67,17,0,9,0,14,50,115,0,41,81,35,33,0,0,0
55955f37562a896c036d51c042a14722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,0
c5a4e3cbc7635731b7719b837dd41fd6,0,0,0,13,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
6c6efa9122d310f4e860896ffb35f2d4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,17,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
059658008f03bbe6f65422bab21b3fcc,15,0,0,0,0,10,0,30,0,0,0,0,0,0,0,19,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,0,0,0,0,0,30,0,29,0,0,0,0,0
a54349ff9b6c7d9d34b0ff2c0555c2b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,24,0,0,0,20,23,31,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,34,212,37,84,0,0,29,49,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4456730d8c87d0f6537d76c2fb363a3a,0,0,0,0,21,9,0,0,0,8,0,25,15,0,0,0,0,7,0,0,0,9,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,5,39,0,0,0,0,0,0,0,8,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3a9516e92ff007c5350053a165dde5d,0,0,6,0,0,0,4,0,0,6,0,17,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e863fdc8da5531a50a2220fc98752fac,0,0,0,0,0,26,0,0,0,0,0,53,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
6e7ba6bba7f471664301128d2c2831c7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,30,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438cf9c0296a5a4c5dc543c10bd26f0f,4,0,30,8,0,0,0,0,0,10,0,25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89129be9efe7e25a0d21ca58d41ef0bc,0,0,0,0,10,9,17,0,3,0,5,25,18,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,23,14,0,0,11,0,0,0,0,0
288e9a95ecfa9359e07dd354e4d1f115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,5,9,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ef38df089ab79af9e4af67ded8565c9b,0,0,0,0,0,0,0,0,0,0,23,29,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
b1da6ff806998554e1df296e250d2233,0,0,0,0,0,0,0,27,0,0,0,0,58,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,33,22,20,16,15,0
7319fc65d8d602841caedd589f0fdc5f,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
8a42dbb7bc8b98a9c2bd488284a86a25,0,5,0,0,25,0,12,0,0,0,0,0,0,0,0,0,15,0,0,0,0,30,16,14,0,0,0,34,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,27,12,24,12,0,16,0,25,0,24,0,0,16,30,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
85d6028cb1ff5eee40a67358f097e7d9,0,0,27,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,11,19,28,15,0,14,0,0,0,0,0,63,0,15,0,26,0,7,23,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107a9fe109ea757e4a2282640e8f88c,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
ee3ab97488d02719412912c0adf12a5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169efcb742e212a9cb21070c1a815afe,0,0,0,0,11,12,10,9,5,9,0,0,18,0,0,2,0,0,0,4,0,5,0,0,2,3,0,16,3,9,14,0,8,7,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,20,0,0,53,16,8,11,27,5,6,12,12,15,21,0,13,0,8,4,0,0,7,0,0,0,5,0,14,0,14,0,0,0
2c3a1d53c528330841c79f2a5c608093,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,49,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75164bfc627f8511a8ae59a0a62b9b1a,0,0,34,0,37,18,0,0,0,17,0,0,58,0,0,0,0,0,0,32,0,0,27,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,34,0,87,0,0,17,177,15,0,0,0,0,0,0,0,0,0,0,0,22,0,70,18,28,14,0,0,0,0,34,65,49,28,35,0,0,0,0,0
4d9787204e18ea534d63e8d93e2b4535,0,0,0,0,251,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04da3ab94401aed833c2572fa2656d01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660dcd8225a712b0c5083030178688c3,0,0,0,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08bafc102d946b1121088167a6a639c7,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
