#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus,Species,full
aa6486d5276e236ae3d02c5b4d1b2dcd,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,Pythium,ultimum,Bacteria-Proteobacteria-Alphaproteobacteria-Rickettsiales-mitochondria-Pythium-ultimum
f0739fa4c615e0fb302050fbc27e0b3e,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus
d4be7c2409fc692446a7f8ba6c503295,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,muralis,Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-muralis
55955f37562a896c036d51c042a14722,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,muralis,Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-muralis
c5a4e3cbc7635731b7719b837dd41fd6,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,,Bacteria-Firmicutes-Bacilli-Bacillales-Planococcaceae-Solibacillus
6c6efa9122d310f4e860896ffb35f2d4,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,boronitolerans,Bacteria-Firmicutes-Bacilli-Bacillales-Planococcaceae-Lysinibacillus-boronitolerans
059658008f03bbe6f65422bab21b3fcc,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Bacillus,,Bacteria-Firmicutes-Bacilli-Bacillales-Planococcaceae-Bacillus
a54349ff9b6c7d9d34b0ff2c0555c2b5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,longiquaesitum,Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus-longiquaesitum
4456730d8c87d0f6537d76c2fb363a3a,Bacteria,Spirochaetes,[Leptospirae],[Leptospirales],Leptospiraceae,Turneriella,,Bacteria-Spirochaetes-[Leptospirae]-[Leptospirales]-Leptospiraceae-Turneriella
a3a9516e92ff007c5350053a165dde5d,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
e863fdc8da5531a50a2220fc98752fac,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
6e7ba6bba7f471664301128d2c2831c7,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
438cf9c0296a5a4c5dc543c10bd26f0f,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
89129be9efe7e25a0d21ca58d41ef0bc,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
288e9a95ecfa9359e07dd354e4d1f115,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
ef38df089ab79af9e4af67ded8565c9b,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
b1da6ff806998554e1df296e250d2233,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
7319fc65d8d602841caedd589f0fdc5f,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
8a42dbb7bc8b98a9c2bd488284a86a25,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
85d6028cb1ff5eee40a67358f097e7d9,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
1107a9fe109ea757e4a2282640e8f88c,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
ee3ab97488d02719412912c0adf12a5a,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],[Fimbriimonadaceae],Fimbriimonas,,Bacteria-Armatimonadetes-[Fimbriimonadia]-[Fimbriimonadales]-[Fimbriimonadaceae]-Fimbriimonas
169efcb742e212a9cb21070c1a815afe,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,bowmanii,Bacteria-Firmicutes-Clostridia-Clostridiales-Clostridiaceae-Clostridium-bowmanii
2c3a1d53c528330841c79f2a5c608093,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,Bacteria-Firmicutes-Bacilli-Bacillales-Paenibacillaceae-Paenibacillus
75164bfc627f8511a8ae59a0a62b9b1a,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,Bacteria-Firmicutes-Bacilli-Bacillales-Paenibacillaceae-Paenibacillus
4d9787204e18ea534d63e8d93e2b4535,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,Bacteria-Firmicutes-Bacilli-Bacillales-Paenibacillaceae-Paenibacillus
