,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
f602cb7a8b6d569e265a73ce028470bf,0.4701020885113212,-3.008443961213367,3.0152139308926325,-0.9977547299016155,0.3183983069587497,
c498dfa7ffee71685fa77e2c8a6ab665,1.4004566487175776,2.9723382604993014,2.8918504856836624,1.0278326197063439,0.30402856925134597,
09fef5f9e661845523b57faab824cc17,0.0,0.0,0.0,0.0,1.0,
88dd2ff88ae1f796e5f00b160eb0398d,4.7031185147279775,4.72634163779481,1.4231734106736704,3.320987872839445,0.000896994348092794,0.004247110619404219
aa6486d5276e236ae3d02c5b4d1b2dcd,0.0,,,,,
61478c71b0793379c95edeacb2fd6946,0.0,,,,,
834798c7e260d6082592aa102f9b97cc,21.65544335380795,6.369176366209697,1.218723140067961,5.226106042307956,1.73117098457337e-07,3.563326943246853e-06
e5c322ade0c65d5e69c472f221837684,0.0,,,,,
f1183cfaedc90766c12f6180ae405f3f,0.0,,,,,
43b7c951ff3fafca0b3d6ed6f7b00125,0.0,,,,,
f0a09677501c2929cf4eec7d20697ae1,9.601780908061714,-4.354424587354902,2.0068275522881223,-2.1698050649095997,0.03002161651892551,0.0631989143196699
273898b07f95ea008fe021938899f1a7,1.8414202539015172,3.3403962413317276,2.5881011995512315,1.2906745075930346,0.19681656790712987,
5cb64a110857f425e4e5346ea9bce1c8,0.0,,,,,
2b3e494bd04bdbacb717c00e33846c1b,0.1887981575212974,0.2879935426622713,2.995610215714356,0.09613852334710181,0.9234105557861063,
1c9b8aef27f1b300106386145f44609a,1.736916873932031,3.2567203987417996,2.881698576884862,1.1301391564215362,0.25841759259528463,
1f4581e7b4e2b385258dc9424837b62d,1.2843097092211107,2.8467980991328496,2.9106111315217844,0.9780757272251719,0.32803687181281943,
f628b8d7ba54cb24eb48e06b9050f11a,3.8781559643824473,4.434121249894928,2.4690628068333784,1.7958721979947427,0.07251484499776577,0.11848621861817958
f04070493e5423051ff8d0a6c4859f87,15.159414229837331,-0.9804794194919817,1.7249507442429886,-0.5684100967893287,0.5697565360788365,0.6426021206003315
1b4cc62186140c02cd553e8fcb7b102e,1.4742353532147996,3.0441854823336403,2.8734195679117995,1.059429509121754,0.2894042165045095,
97a02cf8c5f57518a1308d65aaab5813,5.950364190321235,5.053233817173215,1.798713283183788,2.809360371336563,0.0049640046649315995,0.01548938572149845
ec09d76d559b295969a6eb862075c8ec,0.0,0.0,0.0,0.0,1.0,
2ddf25a16baf495341cb4072075d6658,0.0,,,,,
3e2513be14307fac7694b635b0cc75cc,3.9945887442433,3.2685303455595123,1.7229248576611274,1.8970823544774589,0.05781706969982323,0.10152239016011615
2a6d12ea9223d268a24b3254bc59c038,9.352945976664776,4.197452359907758,1.3938734678567608,3.0113582449932266,0.002600818070519982,0.009318211271949999
12c0ef79ba5ac2508fe39b76d13af158,3.482913197754253,1.6562402616203662,1.7807347913507057,0.930088112876197,0.35232546494061895,0.4343152961545257
1a84411ef11fc55dbb93803ef0a01bad,0.0,0.0,0.0,0.0,1.0,
c0190a6c5a0cccae42c2159ce631c1a6,2.571709912361716,3.8479592472148796,2.234404520030106,1.7221408266588327,0.08504401092720881,
7d82261b9be66e3a82f4bd85b716e258,1.789646053945124,1.386076039051519,1.815048306709994,0.7636579334706293,0.4450711154557105,
e58dc6a3b02a43d795c84ec00be35f3b,8.58304947857318,-1.9404935166788857,1.6230480922722954,-1.195585963175103,0.231858171836761,0.299315166081951
d257af37cbc33d0c4c0ce6d017248d83,0.0,,,,,
2daa266b9680882f1b5dffb40cbb17f3,0.0,,,,,
aeb295550899aa9b373cc9f8b9334b3a,0.0,,,,,
f42826837f34f1050d5166fb3bfccf65,3.8966157857283457,4.437301984634556,2.231387717049138,1.9885840325869468,0.04674713527464692,0.08870583159670516
f944d82e6eab25ba0a3a5eac7fe0989e,0.0,,,,,
